Sno.,Text,Sentiment,Timestamp,User,Platform,Weekday,TimePeriod,Likes,Comments,Shares,Engagement,TextLength,WordCount,HashtagCount,MentionCount,EmojiCount,ExclamationCount,Hour,IsWeekend,EngagementPerWord,LikeRatio,CommentRatio,ShareRatio
19, Attending a virtual conference on AI.              ,2,2023-01-20 11:30:00, TechConference,Facebook ,Friday,Morning,713,76,87,876,52,6,0,0,1,0,11,False,125.14285714285714,0.8129988597491448,0.08665906499429875,0.09920182440136831
20, Winter blues got me feeling low.                   ,1,2023-01-20 15:15:00, WinterBlues  ,Instagram ,Friday,Afternoon,180,43,44,267,52,6,0,0,1,0,15,False,38.142857142857146,0.6716417910447762,0.16044776119402984,0.16417910447761194
21, Sipping coffee and enjoying a good book.           ,0,2023-01-21 08:40:00, Bookworm     ,Twitter ,Saturday,Morning,711,108,2,821,52,7,0,0,1,0,8,True,102.625,0.864963503649635,0.13138686131386862,0.0024330900243309003
22, Exploring the world of virtual reality.            ,0,2023-01-21 13:20:00, VRExplorer   ,Facebook ,Saturday,Afternoon,358,18,81,457,52,6,0,0,1,0,13,True,65.28571428571429,0.7816593886462883,0.039301310043668124,0.17685589519650655
23, Productive day ticking off my to-do list.          ,0,2023-01-21 16:45:00, ProductivityPro,Instagram ,Saturday,Afternoon,819,36,35,890,52,7,0,0,2,0,16,True,111.25,0.9191919191919192,0.04040404040404041,0.03928170594837262
24, Just finished a challenging workout routine.       ,0,2023-01-22 09:15:00, FitnessWarrior,Twitter ,Sunday,Morning,393,183,98,674,52,6,0,0,1,0,9,True,96.28571428571429,0.5822222222222222,0.27111111111111114,0.1451851851851852
25, Celebrating a milestone at work! ð               ,0,2023-01-22 14:30:00, CareerMilestone,Facebook ,Sunday,Afternoon,541,129,87,757,53,6,0,0,4,1,14,True,108.14285714285714,0.7137203166226913,0.17018469656992086,0.11477572559366754
26, Sunday brunch with friends.                        ,0,2023-01-22 12:00:00, BrunchBuddy  ,Instagram ,Sunday,Afternoon,463,170,30,663,52,4,0,0,1,0,12,True,132.6,0.697289156626506,0.2560240963855422,0.045180722891566265
27, Learning a new language for personal growth.       ,0,2023-01-23 16:20:00, LanguageLearner,Facebook ,Monday,Afternoon,855,101,8,964,52,7,0,0,1,0,16,False,120.5,0.8860103626943006,0.10466321243523316,0.008290155440414507
28, Quiet evening with a good book.                    ,0,2023-01-23 19:45:00, BookLover    ,Instagram ,Monday,Evening,435,27,22,484,52,6,0,0,1,0,19,False,69.14285714285714,0.8969072164948454,0.05567010309278351,0.04536082474226804
29, Cooking a special dinner for loved ones.           ,0,2023-01-31 19:00:00, ChefAtHome   ,Instagram ,Tuesday,Evening,241,67,44,352,52,7,0,0,1,0,19,False,44.0,0.6827195467422096,0.18980169971671387,0.12464589235127478
30, Feeling optimistic about the week ahead.           ,0,2023-01-31 16:20:00, OptimisticMindset,Twitter ,Tuesday,Afternoon,326,147,58,531,52,6,0,0,1,0,16,False,75.85714285714286,0.6127819548872181,0.27631578947368424,0.10902255639097744
31, Starting a new fitness challenge tomorrow! ðª     ,0,2023-02-01 08:00:00, FitnessChallenge,Facebook ,Wednesday,Morning,210,157,36,403,53,7,0,0,3,1,8,False,50.375,0.5198019801980198,0.3886138613861386,0.0891089108910891
32, Sunday bike ride through scenic trails.           ,0,2023-02-01 13:30:00, BikeExplorer  ,Instagram ,Wednesday,Afternoon,509,149,69,727,51,6,0,0,1,0,13,False,103.85714285714286,0.6991758241758241,0.20467032967032966,0.09478021978021978
33, Can't believe the injustice happening in our society.,1,2023-02-11 09:30:00, SocialJustice   ,Twitter ,Saturday,Morning,363,198,77,638,54,8,0,0,2,0,9,True,70.88888888888889,0.568075117370892,0.30985915492957744,0.12050078247261346
34, Feeling a sense of fear after watching a thriller movie. ,1,2023-02-11 21:15:00, ThrillerFan     ,Instagram ,Saturday,Night,71,57,93,221,58,10,0,0,1,0,21,True,20.09090909090909,0.31981981981981983,0.25675675675675674,0.4189189189189189
35, Heartbroken after hearing the news about a natural disaster. ,1,2023-02-12 14:45:00, EmpathyFirst    ,Facebook ,Sunday,Afternoon,302,108,31,441,62,9,0,0,1,0,14,True,44.1,0.6832579185520362,0.24434389140271492,0.07013574660633484
36, The state of the world's environment is just disgusting. ,1,2023-02-12 18:20:00, EcoAwareness    ,Twitter ,Sunday,Evening,797,108,47,952,58,9,0,0,2,0,18,True,95.2,0.8363064008394544,0.11332633788037776,0.04931794333683106
37, Pure happiness: celebrating a loved one's achievement! ,0,2023-02-13 10:00:00, ProudFriend     ,Instagram ,Monday,Morning,906,183,55,1144,56,7,0,0,3,1,10,False,143.0,0.7912663755458516,0.15982532751091702,0.048034934497816595
38, Laughter is the best medicineâenjoying a comedy show. ,0,2023-02-13 19:30:00, ComedyFan       ,Facebook ,Monday,Evening,610,43,80,733,57,8,0,0,3,0,19,False,81.44444444444444,0.8310626702997275,0.05858310626702997,0.10899182561307902
39, Sharing love and positive vibes with everyone! â¤ï¸      ,0,2023-02-14 08:30:00, LoveSpreader    ,Twitter ,Tuesday,Morning,524,183,62,769,60,8,0,0,5,1,8,False,85.44444444444444,0.6805194805194805,0.23766233766233766,0.08051948051948052
40, An amusing incident brightened up my day!               ,0,2023-02-14 14:20:00, AmusedSoul      ,Instagram ,Tuesday,Afternoon,108,138,30,276,57,7,0,0,1,1,14,False,34.5,0.3898916967509025,0.4981949458483754,0.10830324909747292
41, Finding acceptance in the midst of life's challenges.   ,0,2023-02-16 18:20:00, AcceptanceSeeker,Facebook ,Thursday,Evening,560,71,55,686,57,8,0,0,2,0,18,False,76.22222222222223,0.8151382823871907,0.10334788937409024,0.08005822416302766
42, Overflowing with adoration for my adorable pet! ð¾      ,0,2023-02-17 10:45:00, PetAdorer       ,Twitter ,Friday,Morning,731,139,16,886,59,8,0,0,3,1,10,False,98.44444444444444,0.8241262683201804,0.15670800450958286,0.018038331454340473
43, Anticipating a thrilling adventure in the coming weeks. ,0,2023-02-17 07:30:00, AdventureAwaits  ,Instagram ,Friday,Morning,525,183,12,720,57,8,0,0,1,0,7,False,80.0,0.7281553398058253,0.2538141470180305,0.016643550624133148
44, A bitter experience turned into a valuable lesson.      ,1,2023-02-17 15:00:00, LearnFromBitter ,Facebook ,Friday,Afternoon,749,46,17,812,57,8,0,0,1,0,15,False,90.22222222222223,0.9212792127921279,0.056580565805658053,0.020910209102091022
45, Finding calmness in the midst of a busy day.            ,1,2023-02-18 09:30:00, ZenMaster       ,Twitter ,Saturday,Morning,832,196,16,1044,57,9,0,0,1,0,9,True,104.4,0.7961722488038278,0.1875598086124402,0.015311004784688996
46, Confusion clouds my mind as I navigate through decisions.,2,2023-02-18 14:20:00, ConfusedMind    ,Instagram ,Saturday,Afternoon,239,19,12,270,58,9,0,0,1,0,14,True,27.0,0.8819188191881919,0.07011070110701106,0.04428044280442804
47, Excitement building up for the upcoming vacation!       ,0,2023-02-18 18:45:00, VacationDreamer ,Facebook ,Saturday,Evening,736,115,8,859,57,7,0,0,1,1,18,True,107.375,0.8558139534883721,0.13372093023255813,0.009302325581395349
48, Kindness witnessed today restored my faith in humanity. ,0,2023-02-19 11:30:00, KindnessPrevails,Twitter ,Sunday,Morning,612,161,84,857,57,8,0,0,1,0,11,True,95.22222222222223,0.7132867132867133,0.18764568764568765,0.0979020979020979
49, Pride in achieving a personal milestone.               ,0,2023-02-19 16:00:00, PersonalAchiever,Instagram ,Sunday,Afternoon,925,37,3,965,56,6,0,0,1,0,16,True,137.85714285714286,0.9575569358178054,0.038302277432712216,0.003105590062111801
50, A moment of shame for not standing up against injustice. ,1,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook ,Sunday,Evening,616,159,16,791,58,10,0,0,1,0,19,True,71.9090909090909,0.7777777777777778,0.20075757575757575,0.020202020202020204
51, Fuming with anger after a heated argument.            ,1,2023-02-20 09:30:00, AngryDebater    ,Twitter ,Monday,Morning,293,168,30,491,55,7,0,0,1,0,9,False,61.375,0.5955284552845529,0.34146341463414637,0.06097560975609756
52, The fear of the unknown is keeping me up at night.    ,1,2023-02-20 21:15:00, FearfulDreamer  ,Instagram ,Monday,Night,881,161,23,1065,55,11,0,0,1,0,21,False,88.75,0.8264540337711069,0.15103189493433397,0.021575984990619138
53, Heartfelt sadness after bidding farewell to a dear friend. ,1,2023-02-21 14:45:00, FarewellHeart   ,Facebook ,Tuesday,Afternoon,554,42,92,688,60,9,0,0,1,0,14,False,68.8,0.8040638606676342,0.06095791001451379,0.13352685050798258
54, The state of corruption in our society is utterly disgusting. ,1,2023-02-21 18:20:00, AntiCorruption  ,Twitter ,Tuesday,Evening,180,189,5,374,63,10,0,0,1,0,18,False,34.0,0.48,0.504,0.013333333333333334
55, Overflowing happiness: welcoming a new family member!  ,0,2023-02-22 10:00:00, NewParentJoy    ,Instagram ,Wednesday,Morning,534,101,84,719,56,7,0,0,2,1,10,False,89.875,0.7416666666666667,0.14027777777777778,0.11666666666666667
56, Laughter is the key to joyâattending a stand-up comedy show. ,0,2023-02-22 19:30:00, StandUpFan      ,Facebook ,Wednesday,Evening,868,159,65,1092,64,10,0,0,4,0,19,False,99.27272727272727,0.7941445562671546,0.1454711802378774,0.059469350411710885
57, Sending love to all my followers on this beautiful day! â¤ï¸ ,0,2023-02-23 08:30:00, LoveSender      ,Twitter ,Thursday,Morning,696,187,30,913,64,11,0,0,5,1,8,False,76.08333333333333,0.7614879649890591,0.20459518599562362,0.03282275711159737
58, Amused by the antics of my petâit's pure amusement!      ,0,2023-02-23 14:20:00, PetAmuser       ,Instagram ,Thursday,Afternoon,70,37,21,128,60,9,0,0,4,1,14,False,12.8,0.5426356589147286,0.2868217054263566,0.16279069767441862
59, Awe-struck by the beauty of the night sky.               ,0,2023-02-24 20:30:00, Stargazer       ,Facebook ,Friday,Evening,890,90,84,1064,58,8,0,0,2,0,20,False,118.22222222222223,0.8356807511737089,0.08450704225352113,0.07887323943661972
60, Disappointed with the lack of progress in a personal project. ,1,2023-02-25 09:00:00, ProjectStruggle ,Twitter ,Saturday,Morning,216,70,70,356,63,10,0,0,1,0,9,True,32.36363636363637,0.6050420168067226,0.19607843137254902,0.19607843137254902
61, A surprise visit from an old friend brought tears of joy. ,0,2023-02-25 14:45:00, JoyfulReunion   ,Instagram ,Saturday,Afternoon,323,14,22,359,59,11,0,0,1,0,14,True,29.916666666666668,0.8972222222222223,0.03888888888888889,0.06111111111111111
62, Embracing acceptance of life's ups and downs.           ,0,2023-02-25 18:20:00, LifeAcceptance  ,Facebook ,Saturday,Evening,437,9,82,528,57,7,0,0,2,0,18,True,66.0,0.8260869565217391,0.017013232514177693,0.15500945179584122
63, Overflowing adoration for a cute rescue puppy! ð¶       ,0,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter ,Sunday,Morning,650,127,72,849,59,8,0,0,4,1,10,True,94.33333333333333,0.7647058823529411,0.14941176470588236,0.08470588235294117
64, Anticipating the release of a much-awaited movie.       ,0,2023-02-26 07:30:00, MovieBuff2      ,Instagram ,Sunday,Morning,365,78,32,475,57,7,0,0,2,0,7,True,59.375,0.7668067226890757,0.1638655462184874,0.06722689075630252
65, Bitter experience at the customer service department.   ,1,2023-02-26 15:00:00, CustomerWoes    ,Facebook ,Sunday,Afternoon,63,101,33,197,57,7,0,0,1,0,15,True,24.625,0.3181818181818182,0.51010101010101,0.16666666666666666
66, Finding calmness amidst the chaos of daily life.        ,0,2023-02-27 09:30:00, CalmSoul        ,Twitter ,Monday,Morning,291,122,16,429,57,8,0,0,1,0,9,False,47.666666666666664,0.6767441860465117,0.2837209302325581,0.037209302325581395
67, Confusion reigns as I try to make sense of recent events.,2,2023-02-27 14:20:00, ConfusedMind2   ,Instagram ,Monday,Afternoon,826,42,76,944,58,11,0,0,1,0,14,False,78.66666666666667,0.8740740740740741,0.044444444444444446,0.08042328042328042
68, Excitement building up for a surprise birthday party.   ,0,2023-02-27 18:45:00, BirthdayExcite  ,Facebook ,Monday,Evening,395,145,38,578,57,8,0,0,1,0,18,False,64.22222222222223,0.6822107081174439,0.2504317789291883,0.06563039723661486
69, Witnessed an act of kindness that made my day.          ,0,2023-02-28 11:30:00, KindnessObserver,Twitter ,Tuesday,Morning,614,163,98,875,57,9,0,0,1,0,11,False,87.5,0.7009132420091324,0.1860730593607306,0.11187214611872145
70, Pride in completing a challenging fitness challenge.    ,0,2023-02-28 16:00:00, FitAchiever     ,Instagram ,Tuesday,Afternoon,947,51,14,1012,57,7,0,0,1,0,16,False,126.5,0.9348469891411648,0.050345508390918066,0.013820335636722606
71, A moment of shame for not speaking up against injustice.,1,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook ,Tuesday,Evening,389,113,36,538,57,10,0,0,1,0,19,False,48.90909090909091,0.7217068645640075,0.20964749536178107,0.06679035250463822
72, Reflecting on the beauty of diversity in our world.     ,0,2023-03-01 10:45:00, DiversityLover  ,Twitter ,Wednesday,Morning,141,184,97,422,57,9,0,0,1,0,10,False,42.2,0.3333333333333333,0.43498817966903075,0.2293144208037825
73, Excitement for a quiet evening with a good book.        ,0,2023-03-01 13:30:00, BookwormJoy     ,Instagram ,Wednesday,Afternoon,416,188,23,627,57,9,0,0,1,0,13,False,62.7,0.6624203821656051,0.29936305732484075,0.03662420382165605
74, Feeling bitter about the unfairness in the workplace.   ,1,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter ,Wednesday,Evening,504,19,66,589,57,8,0,0,1,0,17,False,65.44444444444444,0.8542372881355932,0.03220338983050847,0.11186440677966102
75, Calmness prevails as I practice mindfulness.            ,0,2023-03-02 18:00:00, MindfulMe       ,Facebook ,Thursday,Evening,477,161,85,723,57,6,0,0,1,0,18,False,103.28571428571429,0.6588397790055248,0.2223756906077348,0.11740331491712708
76, Confusion surrounds me as I navigate through life's choices. ,2,2023-03-02 13:15:00, ConfusedMind3   ,Instagram ,Thursday,Afternoon,558,140,2,700,62,9,0,0,2,0,13,False,70.0,0.7960057061340942,0.19971469329529243,0.0028530670470756064
77, Excitement for a weekend road trip to explore new places. ,0,2023-03-02 16:45:00, RoadTripper2    ,Twitter ,Thursday,Afternoon,825,9,91,925,59,10,0,0,1,0,16,False,84.0909090909091,0.8909287257019438,0.009719222462203024,0.09827213822894168
78, Kindness witnessed today restores my faith in humanity.  ,0,2023-03-03 11:30:00, KindnessPrevails2,Facebook ,Friday,Morning,992,161,73,1226,58,8,0,0,1,0,11,False,136.22222222222223,0.8084759576202118,0.13121434392828035,0.059494702526487364
79, Reverence for the historical significance of a landmark.,0,2017-11-01 15:30:00, HistoryBuff     ,Twitter ,Wednesday,Afternoon,84,51,65,200,57,8,0,0,1,0,15,False,22.22222222222222,0.417910447761194,0.2537313432835821,0.32338308457711445
80, Elation after achieving a fitness milestone.         ,0,2019-06-15 10:00:00, FitnessAchiever2,Instagram ,Saturday,Morning,255,72,75,402,54,6,0,0,1,0,10,True,57.42857142857143,0.6327543424317618,0.17866004962779156,0.18610421836228289
81, The euphoria of a successful product launch.         ,0,2022-04-03 11:45:00, ProductLaunchJoy,Facebook ,Sunday,Morning,130,80,67,277,54,7,0,0,1,0,11,True,34.625,0.4676258992805755,0.28776978417266186,0.24100719424460432
82, Contentment in the embrace of a loved one.           ,0,2010-11-12 20:20:00, LovingEmbrace   ,Twitter ,Friday,Evening,981,177,52,1210,54,8,0,0,1,0,20,False,134.44444444444446,0.8100743187448389,0.14616019818331957,0.042939719240297276
83, Serenity found in the beauty of a sunset by the sea.  ,0,2011-07-22 18:30:00, SunsetWatcher2  ,Instagram ,Friday,Evening,611,134,62,807,55,11,0,0,1,0,18,False,67.25,0.7561881188118812,0.16584158415841585,0.07673267326732673
84, Gratitude for the small joys that each day brings.   ,0,2012-03-30 11:20:00, JoyfulHeart2    ,Facebook ,Friday,Morning,921,159,23,1103,54,9,0,0,1,0,11,False,110.3,0.8342391304347826,0.14402173913043478,0.020833333333333332
85, Hopeful about the potential for personal growth.      ,0,2013-10-05 16:40:00, GrowthOptimist  ,Twitter ,Saturday,Afternoon,437,99,26,562,55,7,0,0,1,0,16,True,70.25,0.7761989342806395,0.17584369449378331,0.046181172291296625
86, Empowerment through learning a new skill.            ,0,2014-07-10 13:15:00, SkillEmpower    ,Instagram ,Thursday,Afternoon,51,119,68,238,54,6,0,0,1,0,13,False,34.0,0.21338912133891214,0.497907949790795,0.28451882845188287
87, Compassion in volunteering for a local charity.       ,0,2015-12-18 14:20:00, CharityVolunteer,Facebook ,Friday,Afternoon,439,168,82,689,55,7,0,0,1,0,14,False,86.125,0.636231884057971,0.24347826086956523,0.11884057971014493
88, Tenderness in a quiet moment shared with a pet.      ,0,2016-02-10 19:45:00, PetLove         ,Twitter ,Wednesday,Evening,615,40,55,710,54,9,0,0,1,0,19,False,71.0,0.8649789029535865,0.05625879043600562,0.07735583684950774
89, Arousal of excitement for an upcoming festival.       ,0,2017-09-25 11:30:00, FestivalFan     ,Instagram ,Monday,Morning,155,30,6,191,55,7,0,0,1,0,11,False,23.875,0.8072916666666666,0.15625,0.03125
90, Enthusiasm for a DIY home improvement project.       ,0,2018-04-15 16:00:00, DIYEnthusiast   ,Facebook ,Sunday,Afternoon,821,47,35,903,54,7,0,0,1,0,16,True,112.875,0.9081858407079646,0.051991150442477874,0.03871681415929203
91, Fulfillment in completing a challenging puzzle.      ,0,2019-11-28 18:20:00, PuzzleMaster    ,Twitter ,Thursday,Evening,871,31,22,924,54,6,0,0,1,0,18,False,132.0,0.9416216216216217,0.03351351351351351,0.023783783783783784
92, Reverence for the wonders of nature on a hiking trail.,0,2020-05-11 15:00:00, NatureAdmirer   ,Instagram ,Monday,Afternoon,526,73,43,642,55,10,0,0,1,0,15,False,58.36363636363637,0.8180404354587869,0.11353032659409021,0.06687402799377916
93, Elation after a surprise reunion with a childhood friend.,0,2021-02-05 09:30:00, ChildhoodJoy    ,Facebook ,Friday,Morning,752,152,15,919,58,9,0,0,1,0,9,False,91.9,0.8173913043478261,0.16521739130434782,0.016304347826086956
94, Suffering from despair after another setback.      ,1,2021-03-10 08:30:00, StrugglingSoul    ,Twitter ,Wednesday,Morning,451,15,86,552,52,6,0,0,1,0,8,False,78.85714285714286,0.8155515370705244,0.027124773960216998,0.15551537070524413
95," Overwhelmed by grief, missing a loved one dearly.  ",1,2022-07-05 15:45:00, MourningHeart     ,Instagram ,Tuesday,Afternoon,779,78,60,917,52,8,0,0,1,0,15,False,101.88888888888889,0.8485838779956427,0.08496732026143791,0.06535947712418301
96, Loneliness creeps in as the night grows colder.    ,1,2019-11-18 21:20:00, SolitarySoul      ,Facebook ,Monday,Night,605,108,12,725,52,8,0,0,1,0,21,False,80.55555555555556,0.8333333333333334,0.1487603305785124,0.01652892561983471
97, Jealousy consumes me as I witness others' success. ,1,2020-08-12 11:30:00, EnviousObserver   ,Twitter ,Wednesday,Morning,211,42,49,302,52,8,0,0,2,0,11,False,33.55555555555556,0.6963696369636964,0.13861386138613863,0.1617161716171617
98, Resentment building up over past betrayals.        ,1,2018-05-22 14:45:00, BitterHeart       ,Instagram ,Tuesday,Afternoon,251,138,42,431,52,6,0,0,1,0,14,False,61.57142857142857,0.5810185185185185,0.3194444444444444,0.09722222222222222
99, Frustration mounts as obstacles block my path.     ,1,2017-01-30 16:10:00, BlockedGoals      ,Facebook ,Monday,Afternoon,319,27,38,384,52,7,0,0,1,0,16,False,48.0,0.8285714285714286,0.07012987012987013,0.0987012987012987
100," Boredom sets in, the day feels endlessly dull.     ",1,2016-09-28 19:45:00, BoredMind         ,Twitter ,Wednesday,Evening,912,51,82,1045,52,8,0,0,1,0,19,False,116.11111111111111,0.8718929254302104,0.04875717017208413,0.07839388145315487
101," Anxiety grips my heart, worry clouds my thoughts.  ",1,2019-04-15 09:00:00, WorriedMind       ,Instagram ,Monday,Morning,865,94,45,1004,52,8,0,0,1,0,9,False,111.55555555555556,0.8606965174129353,0.09353233830845771,0.04477611940298507
102, Intimidation by the unknown future ahead.          ,1,2021-12-03 18:30:00, FearfulSoul       ,Facebook ,Friday,Evening,320,50,35,405,52,6,0,0,1,0,18,False,57.857142857142854,0.7881773399014779,0.12315270935960591,0.08620689655172414
103, Helplessness sinks in as challenges pile up.       ,1,2020-06-20 14:20:00, OverwhelmedHeart  ,Twitter ,Saturday,Afternoon,505,111,30,646,52,7,0,0,1,0,14,True,80.75,0.7805255023183926,0.17156105100463678,0.04636785162287481
104, Envy eats away at me as I see others' prosperity.  ,1,2018-11-07 11:30:00, CovetousMind     ,Instagram ,Wednesday,Morning,511,144,88,743,52,10,0,0,2,0,11,False,67.54545454545455,0.6868279569892473,0.1935483870967742,0.11827956989247312
105, Regret over missed opportunities haunts my thoughts.,1,2017-08-25 16:00:00, RemorsefulSoul   ,Facebook ,Friday,Afternoon,776,145,30,951,53,7,0,0,1,0,16,False,118.875,0.8151260504201681,0.15231092436974789,0.031512605042016806
106, Disgust at the sight of injustice and cruelty.     ,1,2019-02-11 09:45:00, DisgustedHeart   ,Twitter ,Monday,Morning,301,108,78,487,52,8,0,0,1,0,9,False,54.111111111111114,0.6168032786885246,0.22131147540983606,0.1598360655737705
107," Drowning in despair, hope slipping through my fingers.",1,2016-04-02 20:20:00, HopelessHeart    ,Instagram ,Saturday,Evening,751,194,6,951,55,8,0,0,1,0,20,True,105.66666666666667,0.7888655462184874,0.20378151260504201,0.0063025210084033615
108," Grief weighs heavy, tears a constant companion.    ",1,2015-10-18 15:30:00, TearfulSoul      ,Facebook ,Sunday,Afternoon,345,115,67,527,52,7,0,0,1,0,15,True,65.875,0.6534090909090909,0.2178030303030303,0.1268939393939394
109," Loneliness in a crowded room, a silent cry for connection.",1,2019-07-12 18:10:00, IsolatedMind     ,Twitter ,Friday,Evening,774,108,80,962,59,10,0,0,1,0,18,False,87.45454545454545,0.8037383177570093,0.11214953271028037,0.08307372793354102
110," Jealousy gnaws at my confidence, a toxic emotion.  ",1,2018-06-03 16:30:00, SelfDoubt        ,Instagram ,Sunday,Afternoon,769,64,7,840,52,8,0,0,1,0,16,True,93.33333333333333,0.9143876337693222,0.07609988109393578,0.008323424494649227
111," Resentment festers, poisoning relationships.       ",1,2022-01-15 12:00:00, BrokenTrust      ,Facebook ,Saturday,Afternoon,798,175,52,1025,52,4,0,0,1,0,12,True,205.0,0.7777777777777778,0.1705653021442495,0.050682261208576995
112," Frustration boils over, a volcanic eruption of emotions.",1,2017-04-10 14:45:00, ExplosiveMind    ,Twitter ,Monday,Afternoon,387,104,14,505,57,8,0,0,1,0,14,False,56.111111111111114,0.7648221343873518,0.20553359683794467,0.02766798418972332
113," Boredom settles like dust, life feels mundane.     ",1,2016-11-28 19:00:00, MundaneHeart     ,Instagram ,Monday,Evening,928,72,73,1073,52,7,0,0,1,0,19,False,134.125,0.8640595903165735,0.0670391061452514,0.06797020484171322
114," Anxiety grips my chest, a relentless grip on my thoughts.",1,2018-09-05 09:30:00, RestlessMind     ,Facebook ,Wednesday,Morning,102,137,15,254,58,10,0,0,1,0,9,False,23.09090909090909,0.4,0.5372549019607843,0.058823529411764705
115," Intimidation by the challenges ahead, fear takes hold.",1,2021-10-22 18:30:00, FearfulJourney   ,Twitter ,Friday,Evening,841,124,21,986,55,8,0,0,1,0,18,False,109.55555555555556,0.8520770010131712,0.12563323201621074,0.02127659574468085
